loja,titulo,preco,link
Magazine Luiza,Iphone 12 Apple 256GB,"R$ 2.147,31 agora",
Casas Bahia,Apple iPhone 11,"R$ 1.844,10 agora",
iPlace,Apple iPhone 16e,"R$ 3.849,00",
Mercado Livre,Apple iPhone 15,"R$ 4.498,90 agora",
Amazon,Apple iPhone 16,"R$ 4.728,99",
iPlace,Apple iPhone 13 128GB,"R$ 3.699,00",
Carrefour,Apple Iphone 14 Pro,"R$ 3.803,90 agora",
Magazine Luiza,Apple iPhone 14,"R$ 3.799,00 agora",
Mercado Livre,Apple iPhone 14 Plus,"R$ 3.540,03 agora",
Trocafone,Apple iPhone 13 Pro,"R$ 3.527,92 agora",
Fast Shop,Apple iPhone 16 Pro Max,"R$ 9.299,00",
Amazon,Apple iPhone 16 Pro,"R$ 8.299,00",
Magazine Luiza,Apple Iphone 12 mini 64Gb,"R$ 1.792,65 agora",
Casas Bahia,Iphone 12 Pro,"R$ 3.639,00 agora",
Mercado Livre,Apple iPhone 13 Pro Max,"R$ 3.779,00 agora",
iPlace,Apple iPhone 15 Plus,"R$ 5.999,00",
Carrefour,Apple Iphone 12 Pro Max,"R$ 3.709,00 agora",
trocafone.com.br,iPhone XR Apple,"R$ 1.234,48",
Amazon,Apple iPhone 16 Plus,"R$ 6.699,00",
Magazine Luiza,Apple Iphone 11 Pro Max,"R$ 2.213,10 agora",
mercadolivre.com.br,Apple Iphone 12 (128 Gb) - Preto Preto (Usado),"R$ 1.699,00",
iPlace,Apple iPhone SE,"R$ 1.699,00",
Shopee,Apple iPhone 15 Pro Max Titânio,"R$ 5.850,00",
Trocafy,Apple iPhone 14 Pro Max,"R$ 3.779,10 agora",
Magazine Luiza,Apple Iphone 12 Mini,"R$ 1.997,10 agora",
Trocafone,"iPhone 12 Pro Max 256GB com Tela OLED 6,7"" Dourado Excelente","R$ 3.387,12 agora",
mercadolivre.com.br,Apple Iphone 13 (128 Gb) - Azul Azul (Usado),"R$ 2.818,00",
Carrefour,Iphone 13 Apple 128Gb Com Acessorios - Vitrine,"R$ 2.799,90 agora",
Amazon,Apple iPhone 16 (256 GB) – Branco,"R$ 5.588,14",
iPlace,Seminovo iPhone 11 Pro Max 256GB - Cinza Espacial - Condição Excelente,"R$ 2.299,00",
Magazine Luiza,Usado: iPhone 13 128GB Azul Excelente - Trocafy - Apple,"R$ 2.704,12 agora",
eBay - bidallies,Apple Iphone 14 128gb Verizon - Muito Bom,"R$ 1.725,66",
Mercado Livre,iPhone 16 Pro (128 GB) - Titânio-deserto,"R$ 6.999,00 agora",
Trocafone,"iPhone 11 128GB com Tela LCD de 6,1′′ e 4GB RAM Preto Bom","R$ 1.609,52 agora",
Shopee,Celular IPhone 12 Pro/ 12 Pro Max 128gb 256GB DE VITRINE,"R$ 2.442,00",
iPlace,Seminovo iPhone 12 Pro Max 256GB - Grafite - Condição Excelente,"R$ 3.299,00",
Magazine Luiza,Usado: iPhone 14 128GB Branco Excelente - Trocafy - Apple,"R$ 2.945,42 agora",
mercadolivre.com.br,Iphone 13 128gb Dual Sim - Apple Celular Incrível! Rosa-claro (Usado),"R$ 2.850,00",
Pontofrio.com,"Iphone 13 Apple 6.1"" iOS 15 128Gb Dual Sim Câmera Dupla","R$ 4.059,00",
Carrefour,Iphone 14 128Gb Preto Apple Vitrine,"R$ 3.299,00 agora",
